Omega	n_0	chi2	
77.65795555409711	1.134437388142796e-07	6901.499870950815	
77.65795555409711	1.134437388142796e-07	6901.499870950815	
77.65795555409711	1.134437388142796e-07	6901.499870950815	
77.65795555409711	1.134437388142796e-07	6901.499870950815	
77.65795555409711	1.134437388142796e-07	6901.499870950815	
77.65795555409707	1.1343850828027387e-07	6901.498204406165	
77.65795555409707	1.1343850828027387e-07	6901.498204406165	
77.65795555409707	1.1343850828027387e-07	6901.498204406165	
77.65795555409707	1.1343850828027387e-07	6901.498204406165	
77.65795555409707	1.1343850828027387e-07	6901.498204406165	
77.65795555409707	1.1343850828027387e-07	6901.498204406165	
77.65795555409707	1.1344373096464545e-07	6901.496542859792	
77.65795555409707	1.1344373096464545e-07	6901.496542859792	
77.65795555409707	1.1344373096464545e-07	6901.496542859792	
77.65795555409707	1.1344373096464545e-07	6901.496542859792	
77.65795555409707	1.1344373096464545e-07	6901.496542859792	
77.65795555409707	1.1344373096464545e-07	6901.496542859792	
77.65795555409707	1.1344373096464545e-07	6901.496542859792	
77.65795555409707	1.1344373096464545e-07	6901.496542859792	
77.65795555409707	1.1344373096464545e-07	6901.496542859792	
77.65795555409707	1.1344373096464545e-07	6901.496542859792	
77.65795555409707	1.1344373096464545e-07	6901.496542859792	
77.65795555409707	1.1344373096464545e-07	6901.496542859792	
77.65795555409703	1.1343851611812783e-07	6901.494886296766	
77.65795555409703	1.1343851611812783e-07	6901.494886296766	
77.65795555409703	1.1343851611812783e-07	6901.494886296766	
77.65795555409703	1.1343851611812783e-07	6901.494886296766	
77.65795555409703	1.1343851611812783e-07	6901.494886296766	
77.65795555409703	1.1343851611812783e-07	6901.494886296766	
77.65795555409703	1.1343851611812783e-07	6901.494886296766	
77.65795555409703	1.1343851611812783e-07	6901.494886296766	
77.65795555409703	1.1343851611812783e-07	6901.494886296766	
77.65795555409703	1.1343851611812783e-07	6901.494886296766	
77.65795555409703	1.1343851611812783e-07	6901.494886296766	
77.65795555409703	1.1343851611812783e-07	6901.494886296766	
77.65795555409703	1.1343851611812783e-07	6901.494886296766	
77.65795555409703	1.1343851611812783e-07	6901.494886296766	
77.65795555409703	1.1343851611812783e-07	6901.494886296766	
77.65795555409703	1.1343851611812783e-07	6901.494886296766	
77.65795555409703	1.1343851611812783e-07	6901.494886296766	
77.65795555409703	1.1343851611812783e-07	6901.494886296766	
77.65795555409703	1.1343851611812783e-07	6901.494886296766	
77.65795555409703	1.1343851611812783e-07	6901.494886296766	
77.65795555409703	1.1343851611812783e-07	6901.494886296766	
77.65795555409706	1.1344372313855402e-07	6901.493234702139	
77.65795555409706	1.1344372313855402e-07	6901.493234702139	
77.65795555409706	1.1344372313855402e-07	6901.493234702139	
77.65795555409706	1.1344372313855402e-07	6901.493234702139	
77.65795555409706	1.1344372313855402e-07	6901.493234702139	
77.65795555409706	1.1344372313855402e-07	6901.493234702139	
77.65795555409706	1.1344372313855402e-07	6901.493234702139	
77.65795555409706	1.1344372313855402e-07	6901.493234702139	
77.65795555409706	1.1344372313855402e-07	6901.493234702139	
77.65795555409706	1.1344372313855402e-07	6901.493234702139	
77.65795555409706	1.1344372313855402e-07	6901.493234702139	
77.65795555409709	1.1343852393247438e-07	6901.491588061014	
77.65795555409709	1.1343852393247438e-07	6901.491588061014	
77.65795555409709	1.1343852393247438e-07	6901.491588061014	
77.65795555409709	1.1343852393247438e-07	6901.491588061014	
77.65795555409709	1.1343852393247438e-07	6901.491588061014	
77.65795555409709	1.1343852393247438e-07	6901.491588061014	
77.65795555409709	1.1343852393247438e-07	6901.491588061014	
77.65795555409709	1.1343852393247438e-07	6901.491588061014	
77.65795555409709	1.1343852393247438e-07	6901.491588061014	
77.65795555409709	1.1343852393247438e-07	6901.491588061014	
77.65795555409709	1.1343852393247438e-07	6901.491588061014	
77.65795555409706	1.1344371533593473e-07	6901.489946358478	
77.65795555409713	1.1343853172338402e-07	6901.488309579798	
77.65795555409713	1.1343853172338402e-07	6901.488309579798	
77.65795555409713	1.1343853172338402e-07	6901.488309579798	
77.65795555409713	1.1343853172338402e-07	6901.488309579798	
77.65795555409713	1.1343853172338402e-07	6901.488309579798	
77.65795555409713	1.1343853172338402e-07	6901.488309579798	
77.65795555409713	1.1343853172338402e-07	6901.488309579798	
77.65795555409713	1.1343853172338402e-07	6901.488309579798	
77.6579555540972	1.1344370755671716e-07	6901.486677710174	
77.6579555540972	1.1344370755671716e-07	6901.486677710174	
77.6579555540972	1.1344370755671716e-07	6901.486677710174	
77.65795555409717	1.1343853949092707e-07	6901.48505073479	
77.65795555409717	1.1343853949092707e-07	6901.48505073479	
77.65795555409717	1.1343853949092707e-07	6901.48505073479	
77.65795555409717	1.1343853949092707e-07	6901.48505073479	
77.65795555409717	1.1343853949092707e-07	6901.48505073479	
77.65795555409714	1.1344369980083111e-07	6901.483428639137	
77.65795555409714	1.1344369980083111e-07	6901.483428639137	
77.65795555409714	1.1344369980083111e-07	6901.483428639137	
77.65795555409714	1.1344369980083111e-07	6901.483428639137	
77.65795555409714	1.1344369980083111e-07	6901.483428639137	
77.65795555409714	1.1344369980083111e-07	6901.483428639137	
77.65795555409714	1.1344369980083111e-07	6901.483428639137	
77.65795555409714	1.1344369980083111e-07	6901.483428639137	
77.65795555409714	1.1344369980083111e-07	6901.483428639137	
77.65795555409714	1.1344369980083111e-07	6901.483428639137	
77.65795555409714	1.1344369980083111e-07	6901.483428639137	
77.65795555409714	1.1344369980083111e-07	6901.483428639137	
77.65795555409714	1.1344369980083111e-07	6901.483428639137	
77.65795555409714	1.1344369980083111e-07	6901.483428639137	
77.65795555409714	1.1344369980083111e-07	6901.483428639137	
77.65795555409714	1.1344369980083111e-07	6901.483428639137	
77.6579555540971	1.134385472351736e-07	6901.481811408463	
77.6579555540971	1.134385472351736e-07	6901.481811408463	
77.65795555409711	1.1344369206820663e-07	6901.480199028256	
77.65795555409711	1.1344369206820663e-07	6901.480199028256	
77.65795555409711	1.1344369206820663e-07	6901.480199028256	
77.65795555409711	1.1344369206820663e-07	6901.480199028256	
77.65795555409711	1.1344369206820663e-07	6901.480199028256	
77.65795555409711	1.1344369206820663e-07	6901.480199028256	
77.65795555409711	1.1344369206820663e-07	6901.480199028256	
77.65795555409711	1.1344369206820663e-07	6901.480199028256	
77.65795555409711	1.1344369206820663e-07	6901.480199028256	
77.65795555409707	1.1343855495619348e-07	6901.478591483851	
77.65795555409707	1.1343855495619348e-07	6901.478591483851	
77.65795555409711	1.1344368435877393e-07	6901.476988760868	
77.65795555409711	1.1344368435877393e-07	6901.476988760868	
77.65795555409711	1.1344368435877393e-07	6901.476988760868	
77.65795555409711	1.1344368435877393e-07	6901.476988760868	
77.65795555409711	1.1344368435877393e-07	6901.476988760868	
77.65795555409711	1.1344368435877393e-07	6901.476988760868	
77.65795555409711	1.1344368435877393e-07	6901.476988760868	
77.65795555409711	1.1344368435877393e-07	6901.476988760868	
77.65795555409711	1.1344368435877393e-07	6901.476988760868	
77.65795555409711	1.1344368435877393e-07	6901.476988760868	
77.65795555409711	1.1344368435877393e-07	6901.476988760868	
77.65795555409711	1.1344368435877393e-07	6901.476988760868	
77.65795555409711	1.1344368435877393e-07	6901.476988760868	
77.65795555409711	1.1344368435877393e-07	6901.476988760868	
77.65795555409711	1.1344368435877393e-07	6901.476988760868	
77.65795555409711	1.1344368435877393e-07	6901.476988760868	
77.65795555409711	1.1344368435877393e-07	6901.476988760868	
77.65795555409711	1.1344368435877393e-07	6901.476988760868	
77.65795555409711	1.1344368435877393e-07	6901.476988760868	
77.65795555409711	1.1344368435877393e-07	6901.476988760868	
77.65795555409711	1.1344368435877393e-07	6901.476988760868	
77.65795555409711	1.1344368435877393e-07	6901.476988760868	
