Epsilon	Acceptance Rate	 Iterations
4.978439260196648e-12 	 0.065 	 200.0
4.973460820936451e-12 	 0.07 	 200.0
4.968487360115515e-12 	 0.07 	 200.0
4.9635188727554e-12 	 0.11 	 200.0
4.958555353882644e-12 	 0.17 	 200.0
4.9535967985287615e-12 	 0.22 	 200.0
4.9486432017302325e-12 	 0.34 	 200.0
4.9436945585285024e-12 	 0.435 	 200.0
4.9436945585285024e-12 	 0.9515 	 2000.0
4.94863825308703e-12 	 0.946 	 2000.0
4.953586891340117e-12 	 0.8895 	 2000.0
